snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,best_improvement_per_query_m,any_success_gain,selected_success_any,best_selected_distance_m,native_rejected_fraction,auxiliary_prefers_fraction,directional_positive_fraction,mean_crod_score,mean_native_rank_fraction,mean_auxiliary_rank_fraction,mean_action_distance_from_anchor
91,dino_best_rejected,0.0025466838187892457,1,0.0,0.0,0.0014134662621952444,0.00017668328277440555,0.0,1.0,0.0011332175565940013,1.0,1.0,1.0,0.02821527777777778,0.30291666666666667,0.011666666666666667,4.339120843507797
91,native_uncertainty_diverse,0.0025466838187892457,1,0.0,0.0,0.000712310488130443,8.903881101630538e-05,0.0,1.0,0.0018343733306588027,1.0,0.0,0.0,0.0,0.7920833333333334,0.7054166666666667,5.0316723646796095
91,random_rejected,0.0025466838187892457,1,0.0,0.0,0.0014134662621952444,0.00017668328277440555,0.0,1.0,0.0011332175565940013,1.0,0.125,0.125,0.0077930555555555565,0.44666666666666666,0.36624999999999996,3.9974588424155764
91,rejected_action_diverse,0.0025466838187892457,1,0.0,0.0,0.00094474123176425,0.00011809265397053125,0.0,1.0,0.0016019425870249957,1.0,0.0,0.0,0.0,0.49916666666666665,0.59625,5.752004118802035
92,action_diverse,0.03125451608763129,1,0.0,0.0,0.016594246072399836,0.0020742807590499795,0.0,1.0,0.014660270015231453,1.0,0.625,0.625,0.06986805555555554,0.64,0.43375,7.749678987339109
92,crod_directional,0.03125451608763129,1,0.0,0.0,0.0009390389616276279,0.00011737987020345349,0.0,1.0,0.03031547712600366,1.0,1.0,1.0,0.2765902777777777,0.9083333333333334,0.025833333333333333,5.406148915575733
92,dino_best_rejected,0.03125451608763129,1,0.0,0.0,0.00981888097297845,0.0012273601216223062,0.0,1.0,0.021435635114652837,1.0,1.0,1.0,0.2163388888888889,0.67625,0.011666666666666667,5.810531260487856
92,native_uncertainty_diverse,0.03125451608763129,1,1.0,0.021942912436736142,0.021942912436736142,0.0027428640545920178,0.0,1.0,0.009311603650895147,1.0,0.25,0.25,0.0036930555555555536,0.3258333333333333,0.4916666666666667,6.752341719043702
92,random_rejected,0.03125451608763129,1,0.0,0.0,0.00729395144498482,0.0009117439306231025,0.0,1.0,0.023960564642646467,1.0,0.25,0.25,0.043656944444444436,0.7545833333333334,0.6241666666666668,5.2646128856228
92,rejected_action_diverse,0.03125451608763129,1,0.0,0.0,0.016594246072399836,0.0020742807590499795,0.0,1.0,0.014660270015231453,1.0,0.625,0.625,0.06986805555555554,0.64,0.43375,7.749678987339109
93,action_diverse,0.021234012405898565,1,0.0,0.0,0.0,0.0,0.0,1.0,0.021234962360769306,1.0,0.5,0.5,0.08675277777777776,0.6825000000000001,0.4658333333333333,6.2901830968782875
93,crod_directional,0.021234012405898565,1,0.0,0.0,0.0009568360095132955,0.00011960450118916194,0.0,1.0,0.02027717639638527,1.0,1.0,1.0,0.3714694444444444,0.8095833333333333,0.060833333333333336,5.3873900214065795
